,0,1,2,3,4,5,6,7,8,9,,,,,,,,,
0,eight,,,,,,,,,,,,10Ç©Ç¢ÇÃê∏ìxåüèÿÇÃóﬁéóìxïΩãœÇ∆ïWèÄïŒç∑,,,,,,
1,circle,,,,,,,,,,,,,,,,,,
2,square,,,,,,,,,,,,,,,,,,
3,small_eight,,,,,,,,,,,,,,,,,,
4,small_circle,,,,,,,,,,,,,,,,,,
0,,46.11033653,57.57307504,52.21500801,51.51474522,40.58724572,27.96754071,85.56950184,84.00291318,69.47088792,,small_eight,61.05859179,17.30832247,,,,,
1,46.11033653,,57.11124638,54.3386654,45.26986877,54.08619443,35.15149718,75.4122687,77.14963775,66.23965556,,,57.45502072,20.43418587,,,,,
2,57.57307504,57.11124638,,64.05936741,55.08651636,55.15946117,41.64705913,73.04090378,81.46758203,62.28235065,,,54.101828,22.62080102,,,,,
3,52.21500801,54.3386654,64.05936741,,53.63957035,45.01794601,61.77698792,105.2036575,98.67278027,94.38319179,,,50.82025565,23.79424018,,,,,
4,51.51474522,45.26986877,55.08651636,53.63957035,,35.08891554,39.21365335,66.35169286,59.39614002,54.94003974,,,46.98612279,22.80108157,,,,,
5,40.58724572,54.08619443,55.15946117,45.01794601,35.08891554,,34.4065875,75.62076898,71.65709106,68.80597534,,,44.34127118,23.62789672,,,,,
6,27.96754071,35.15149718,41.64705913,61.77698792,39.21365335,34.4065875,,60.860461,65.64458058,47.031866,,,42.26553261,23.52588893,,,,,
7,85.56950184,75.4122687,73.04090378,105.2036575,66.35169286,75.62076898,60.860461,,75.69043974,52.45845408,,,39.72822413,24.12251311,,,,,
8,84.00291318,77.14963775,81.46758203,98.67278027,59.39614002,71.65709106,65.64458058,75.69043974,,69.26230214,,,35.12545803,20.97080408,,,,,
9,69.47088792,66.23965556,62.28235065,94.38319179,54.94003974,68.80597534,47.031866,52.45845408,69.26230214,,,,31.92452786,16.38868151,,,,,
0,,15.68230449,22.37293302,25.95405512,14.86238155,27.20647494,11.28950545,17.86322,36.48446019,18.97452294,,small_circle,28.2173898,11.72597988,,,,,
1,15.68230449,,21.54828892,25.41212957,17.76851727,22.4924405,15.63718079,25.76397404,39.67002122,25.10716905,,,30.26030779,13.44081215,,,,,
2,22.37293302,21.54828892,,15.39553022,30.13915701,18.56535055,22.17331285,32.67051801,54.80767321,34.41328715,,,32.43895266,15.15544669,,,,,
3,25.95405512,25.41212957,15.39553022,,32.59690064,21.47941593,26.58091694,38.36187775,60.20970774,38.24468324,,,34.22991712,16.94541953,,,,,
