,0,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,10,0,10,0,10,4,5,0,10,0,10,,0,10,5,5,7,2,0,10,0,10,0,10,,,,0.02,,0.36,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,10,0,10,0,10,8,1,7,3,4,6,,0,10,4,6,5,4,0,10,0,10,0,10,,,,0,,1,,0,,,,50,,51,,,102,,,,,0.6,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,10,0,10,0,10,6,3,3,7,5,5,,0,10,1,9,3,6,0,10,0,10,0,10,,,,100,,100,,100,,,,100,,100,,,500,0.204,,,,0.4,0.942,,,,,,,,,,,,,,0.811864407,0.644444444,0.842,,,,,,,,,,,,
36,0,10,0,10,0,10,7,2,10,0,10,0,,1,9,3,7,1,8,0,10,0,10,0,10,,,,0,,0.01,,0,,,,0.5,,0.51,,,,,,,,,,,,,,,,,,,,,,,0.938983051,0.644444444,0.992,,,,,,,,,,,,
37,0,10,1,9,0,10,2,7,7,3,5,5,,0,10,3,7,4,5,0,10,0,10,0,10,,,,0,,0,,0,,2,,,,27,,,29,,,,,0.533333333,0.146,,,,,,,,,,,,,,0.86440678,0.533333333,0.924,,,,,,,,,,,,
38,0,10,0,10,0,10,1,8,0,10,0,10,,2,98,36,64,48,42,0,100,0,100,0,100,,,,100,,100,,100,,100,,,,100,,,500,0.058,,,,0.466666667,0.854,,,,,,,,,,,,,,0.755932203,0.533333333,0.796,,,,,,,,,,,,
39,0,10,0,10,0,10,3,6,8,2,7,3,,100,100,100,100,90,90,100,100,100,100,100,100,,,,0,,0,,0,,0.02,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,0.889830508,0.6,0.942,,,,,,,,,,,,
40,0,10,0,10,0,10,1,9,8,1,5,5,,0.02,0.98,0.36,0.64,0.533333333,0.466666667,0,1,0,1,0,1,,,,0,,0,,0,,19,,54,,,,,73,,,,,,,,,,,,だめ,,,,,,,,0.805084746,0.533333333,0.854,,,,,,,,,,,,
41,0,10,0,10,0,10,0,10,8,1,4,6,,,,,,,,,,,,,,,,,100,,100,,100,,100,,100,,,,,500,0.146,,,,,,,,,,tp,fn,,,,,,,,,,,,,,,,,,,,,,
42,0,10,0,10,0,10,0,10,5,4,2,8,,0,10,0,10,0,10,6,3,5,5,9,1,,,,0,,0,,0,,0.19,,0.54,,,,,,,,,,,,,,,,fp,tn,,,,,,,,こっちがいい,,,,,,,,,,,,,,
43,0,10,0,10,0,10,0,10,5,4,2,8,,0,10,0,10,0,10,6,3,2,8,6,4,,,,,,,,,,,,,,,,,,,,,,0.644,0.356,,0.743222222,,,58,32,,0.811864407,,0.811864407,,,,29,16,,0.825688073,0.825688073,,,,,,,,,,
44,0,10,0,10,0,10,1,9,5,4,6,4,,0,10,0,10,0,10,5,4,8,2,5,5,,,,,,,,,,,,,,,,,,,,,,0.158,0.842,,,,,79,421,,0.644444444,,0.644444444,,,,79,421,,0.644444444,0.644444444,,,,,,,,,,
45,0,10,0,10,0,10,0,10,5,4,0,10,,0,10,0,10,0,10,4,5,0,10,0,10,,,,58,32,58,32,48,42,48,42,54,36,48,42,,,,,,,,,,,,,,,,0.842,,0.842,,,,,,,0.842,0.842,,,,,,,,,,
46,0,10,0,10,0,10,0,10,8,1,5,5,,0,10,0,10,0,10,8,1,7,3,4,6,,,,90,90,90,90,90,90,90,90,90,90,90,90,,,,,,,0.644,0.356,,,,,58,32,,0.938983051,,0.938983051,,,,29,16,,0.963302752,0.963302752,,,,,,,,,,
47,0,10,0,10,0,10,0,10,5,4,1,9,,0,10,0,10,0,10,6,3,3,7,5,5,,,,0.644444444,0.355555556,0.644444444,0.355555556,0.533333333,0.466666667,0.533333333,0.466666667,0.6,0.4,0.533333333,0.466666667,,,,,,,0.008,0.992,,,,,4,496,,0.644444444,,0.644444444,,,,4,496,,0.644444444,0.644444444,,,,,,,,,,
48,0,10,0,10,0,10,0,10,0,9,0,10,,0,10,0,10,0,10,7,2,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,,0.992,,,,,,,0.992,0.992,,,,,,,,,,
49,0,10,0,10,0,10,0,10,5,4,2,8,,0,10,1,9,0,10,2,7,7,3,5,5,,,,,,,,,,,,,,,,,,,,,,0.533,0.467,,,,,48,42,,0.86440678,,0.86440678,,,,24,21,,0.891743119,0.891743119,,,,,,,,,,
50,0,10,0,10,0,10,2,8,10,0,6,3,,0,10,0,10,0,10,1,8,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,0.076,0.924,,,,,38,462,,0.533333333,,0.533333333,,,,38,462,,0.533333333,0.533333333,,,,,,,,,,
51,0,10,0,10,0,10,4,6,10,0,5,4,,0,10,0,10,0,10,3,6,8,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924,,0.924,,,,,,,0.924,0.924,,,,,,,,,,
52,0,10,0,10,0,10,3,7,9,1,5,4,,0,100,1,99,0,100,48,42,50,50,51,49,,,,,,,,,,,,,,,,,,,,,,0.533,0.467,,,,,48,42,,0.755932203,,0.755932203,,,,24,21,,0.774311927,0.774311927,,,,,,,,,,
53,0,10,0,10,0,10,4,6,5,5,8,1,,100,100,100,100,100,100,90,90,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,0.204,0.796,,,,,102,398,,0.533333333,,0.533333333,,,,102,398,,0.533333333,0.533333333,,,,,,,,,,
54,0,10,0,10,0,10,0,10,0,10,1,8,,0,1,0.01,0.99,0,1,0.533333333,0.466666667,0.5,0.5,0.51,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796,,0.796,,,,,,,0.796,0.796,,,,,,,,,,
55,0,10,0,10,0,10,0,10,1,9,4,5,,,,,,,,,,,,,,,,,,,,70,,52,,100,,100,,99,,421,,,,,0.6,0.058,,,,,54,36,,0.889830508,,0.889830508,,,,27,18,,0.913761468,0.913761468,,,,,,,,,,
56,0,10,0,10,0,10,1,9,0,10,2,7,,0,10,0,10,0,10,1,9,8,1,5,5,,,,,,,100,,100,,100,,100,,100,,500,0.842,,,,0.4,0.942,,,,,29,471,,0.6,,0.6,,,,29,471,,0.6,0.6,,,,,,,,,,
57,0,10,0,10,0,10,2,8,9,1,7,2,,0,10,0,10,0,10,0,10,8,1,4,6,,,,,,,0.7,,0.52,,1,,1,,0.99,,,,,,,,,,,,,,,,0.942,,0.942,,,,,,,0.942,0.942,,,,,,,,,,
58,0,10,0,10,0,10,1,9,1,9,5,4,,0,10,0,10,0,10,0,10,5,4,2,8,,,,,100,,,,96,,100,,100,,100,,496,,,,,0.600,0.400,,,,,48,42,,0.805084746,,0.805084746,,,,24,21,,0.827522936,0.827522936,,,,,,,,,,
59,0,10,0,10,0,10,2,8,9,1,5,4,,0,10,0,10,0,10,0,10,5,4,2,8,,,,,100,,,,100,,100,,100,,100,,500,0.992,,,,0.058,0.942,,,,,73,427,,0.533333333,,0.533333333,,,,73,427,,0.533333333,0.533333333,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,1,9,5,4,6,4,,,,,1,,,,0.96,,1,,1,,1,,,,,,,,,,,,,,,,0.854,,0.854,,,,,,,0.854,0.854,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,0,10,,,,,98,,64,,,,100,,100,,100,,462,,,,,0.533,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,8,1,5,5,,,,,100,,100,,,,100,,100,,100,,500,0.924,,,,0.146,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,1,9,,,,,0.98,,0.64,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,0,9,0,10,,,,,100,,99,,100,,,,50,,49,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,0,10,5,4,2,8,,,,,100,,100,,100,,,,100,,100,,500,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,100,0,100,0,100,2,98,54,36,27,73,,,,,1,,0.99,,1,,,,0.5,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,90,90,100,100,,,,,100,,100,,100,,98,,,,73,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,1,0,1,0,1,0.02,0.98,0.6,0.4,0.27,0.73,,,,,100,,100,,100,,100,,,,100,,500,0.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,0.98,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,2,8,10,0,6,3,,,,,100,,100,,100,,81,,46,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,10,0,10,0,10,4,6,10,0,5,4,,,,,100,,100,,100,,100,,100,,,,500,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
